sex,age,country_code,geo,year,population
F,TOTAL,AT,Austria,2014,4352447
F,TOTAL,AT,Austria,2015,4384529
F,TOTAL,AT,Austria,2016,4427918
F,TOTAL,AT,Austria,2017,4460424
F,TOTAL,AT,Austria,2018,4483749
F,TOTAL,AT,Austria,2019,4501742
F,TOTAL,AT,Austria,2020,4522292
F,TOTAL,AT,Austria,2021,4535712
F,TOTAL,AT,Austria,2022,4553444
F,TOTAL,AT,Austria,2023,4619957
F,TOTAL,BE,Belgium,2014,5687048
F,TOTAL,BE,Belgium,2015,5713206
F,TOTAL,BE,Belgium,2016,5741853
F,TOTAL,BE,Belgium,2017,5762455
F,TOTAL,BE,Belgium,2018,5784371
F,TOTAL,BE,Belgium,2019,5810693
F,TOTAL,BE,Belgium,2020,5841215
F,TOTAL,BE,Belgium,2021,5854293
F,TOTAL,BE,Belgium,2022,5883978
F,TOTAL,BE,Belgium,2023,5946649
F,TOTAL,BG,Bulgaria,2014,3720732
F,TOTAL,BG,Bulgaria,2015,3700183
F,TOTAL,BG,Bulgaria,2016,3676607
F,TOTAL,BG,Bulgaria,2017,3651881
F,TOTAL,BG,Bulgaria,2018,3627625
F,TOTAL,BG,Bulgaria,2019,3604338
F,TOTAL,BG,Bulgaria,2020,3581836
F,TOTAL,BG,Bulgaria,2021,3566833
F,TOTAL,BG,Bulgaria,2022,3527626
F,TOTAL,BG,Bulgaria,2023,3348207
F,TOTAL,CY,Cyprus,2014,440462
F,TOTAL,CY,Cyprus,2015,435183
F,TOTAL,CY,Cyprus,2016,435627
F,TOTAL,CY,Cyprus,2017,438139
F,TOTAL,CY,Cyprus,2018,442728
F,TOTAL,CY,Cyprus,2019,448068
F,TOTAL,CY,Cyprus,2020,453534
F,TOTAL,CY,Cyprus,2021,458357
F,TOTAL,CY,Cyprus,2022,463622
F,TOTAL,CY,Cyprus,2023,471475
F,TOTAL,CZ,Czechia,2014,5350039
F,TOTAL,CZ,Czechia,2015,5361348
F,TOTAL,CZ,Czechia,2016,5367513
F,TOTAL,CZ,Czechia,2017,5378133
F,TOTAL,CZ,Czechia,2018,5390264
F,TOTAL,CZ,Czechia,2019,5405606
F,TOTAL,CZ,Czechia,2020,5421943
F,TOTAL,CZ,Czechia,2021,5323934
F,TOTAL,CZ,Czechia,2022,5332932
F,TOTAL,CZ,Czechia,2023,5519006
F,TOTAL,DE,Germany,2014,41210540
F,TOTAL,DE,Germany,2015,41362080
F,TOTAL,DE,Germany,2016,41661561
F,TOTAL,DE,Germany,2017,41824535
F,TOTAL,DE,Germany,2018,41948786
F,TOTAL,DE,Germany,2019,42052522
F,TOTAL,DE,Germany,2020,42129098
F,TOTAL,DE,Germany,2021,42128512
F,TOTAL,DE,Germany,2022,42170339
F,TOTAL,DE,Germany,2023,42799793
F,TOTAL,DK,Denmark,2014,2834956
F,TOTAL,DK,Denmark,2015,2848701
F,TOTAL,DK,Denmark,2016,2869364
F,TOTAL,DK,Denmark,2017,2888591
F,TOTAL,DK,Denmark,2018,2904717
F,TOTAL,DK,Denmark,2019,2917008
F,TOTAL,DK,Denmark,2020,2925845
F,TOTAL,DK,Denmark,2021,2935188
F,TOTAL,DK,Denmark,2022,2950505
F,TOTAL,DK,Denmark,2023,2983655
F,TOTAL,EE,Estonia,2014,700900
F,TOTAL,EE,Estonia,2015,700166
F,TOTAL,EE,Estonia,2016,699236
F,TOTAL,EE,Estonia,2017,698097
F,TOTAL,EE,Estonia,2018,698049
F,TOTAL,EE,Estonia,2019,699185
F,TOTAL,EE,Estonia,2020,699699
F,TOTAL,EE,Estonia,2021,699153
F,TOTAL,EE,Estonia,2022,698381
F,TOTAL,EE,Estonia,2023,718518
F,TOTAL,EL,Greece,2014,5613568
F,TOTAL,EL,Greece,2015,5589628
F,TOTAL,EL,Greece,2016,5559538
F,TOTAL,EL,Greece,2017,5546916
F,TOTAL,EL,Greece,2018,5531125
F,TOTAL,EL,Greece,2019,5516306
F,TOTAL,EL,Greece,2020,5503077
F,TOTAL,EL,Greece,2021,5482584
F,TOTAL,EL,Greece,2022,5345035
F,TOTAL,EL,Greece,2023,5323391
F,TOTAL,ES,Spain,2014,23634738
F,TOTAL,ES,Spain,2015,23623019
F,TOTAL,ES,Spain,2016,23632635
F,TOTAL,ES,Spain,2017,23693426
F,TOTAL,ES,Spain,2018,23776565
F,TOTAL,ES,Spain,2019,23927801
